text,sentiment,text_length,positive_score,negative_score,entity_count,adj_ratio,verb_ratio,noun_ratio,negation_flag
my dead grandpa pays more attention to me than you do,0,53,0.0,3.0,0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0
need retail therapy bad ahhhgimme money geebus,0,46,0.0,3.0,0,0.2857142857142857,0.1428571428571428,0.5714285714285714,0
about to go to sleep,1,20,0.0,0.0,0,0.2,0.4,0.0,0
you are lame  go make me breakfast,0,34,0.0,2.0,0,0.125,0.25,0.125,0
thats so cool,2,13,1.0,0.0,0,0.25,0.25,0.0,0
hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,1,113,0.0,2.0,0,0.0,0.2608695652173913,0.2608695652173913,1
huh another scarepoint coding sunday,1,36,0.0,0.0,1,0.0,0.2,0.2,0
look who i found just for you,2,29,0.0,0.0,0,0.0,0.2857142857142857,0.0,0
no ac the fan doesnt swing our way  we are sweating it out on a hot humid day,0,77,2.0,0.0,0,0.1,0.1,0.15,1
guess that depends on if you want to be on the jury,1,51,1.0,0.0,0,0.0,0.25,0.0833333333333333,0
resorted to eating mickey ds alone,1,34,0.0,2.0,0,0.0,0.3333333333333333,0.1666666666666666,0
there is a faux gothy chick looking at me sorry i am not going to camden and i like poppunk and jimmy eat world,1,111,1.0,0.0,1,0.125,0.25,0.125,1
did he ask for your twitter id your sun sign,1,44,0.0,0.0,0,0.0,0.1818181818181818,0.2727272727272727,0
whered you go,1,13,0.0,0.0,0,0.0,0.25,0.25,0
watching body of liesgood film,2,30,0.0,0.0,0,0.0,0.2,0.6,0
happy mothers day mumm  xoxo,2,28,6.0,0.0,1,0.1666666666666666,0.0,0.3333333333333333,0
so i really need to put the laptop down  start getting ready for  shindigbut ive missed my twitterloves all day,1,111,0.0,2.0,1,0.0434782608695652,0.217391304347826,0.1739130434782608,0
im sorry  at least its friday,0,29,0.0,1.0,1,0.25,0.125,0.0,0
feels sorry every time im printing out i use like  new papers,0,61,1.0,0.0,0,0.1428571428571428,0.2142857142857142,0.1428571428571428,0
n ma rog  never heard of it  esti beat acum u tweet too much,0,60,0.0,0.0,0,0.0,0.1875,0.1875,1
i always forget something when i travel i am at newark airport,1,62,0.0,1.0,1,0.0,0.1666666666666666,0.0,0
should have left car and walked home i might need someone to rescue me with petrol light flashing,1,97,2.0,0.0,0,0.0,0.2777777777777778,0.1666666666666666,0
im only updating this so that bretts phone beeps  but really looking at wedding stuff againfor the next five months,1,115,0.0,0.0,1,0.0454545454545454,0.1818181818181818,0.1818181818181818,0
hi there  i agree  small children should be running about happy not breaking down in tears,2,90,2.0,0.0,0,0.1111111111111111,0.1666666666666666,0.1111111111111111,1
hope ur havin fun in da club,2,28,6.0,0.0,0,0.0,0.1428571428571428,0.2857142857142857,0
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday,1,90,1.0,0.0,0,0.1363636363636363,0.1818181818181818,0.1363636363636363,0
thinks sg is wonderful,2,22,4.0,0.0,0,0.25,0.25,0.0,0
im really sorry i know wallah how u feel this life is shittttttttt,0,66,0.0,1.0,0,0.2142857142857142,0.2142857142857142,0.0714285714285714,0
not happy,0,9,3.0,0.0,0,0.5,0.0,0.0,1
is watching acoustic performances  in the mood for a good friends episode i miss that show,1,90,1.0,0.0,0,0.1176470588235294,0.1176470588235294,0.2941176470588235,0
ill oscillate from one to the other,1,35,0.0,2.0,1,0.1428571428571428,0.1428571428571428,0.0,0
im so very tiredand have insomnia,0,33,0.0,2.0,0,0.0,0.2857142857142857,0.1428571428571428,0
thanks ennio,2,12,2.0,0.0,0,0.0,0.0,0.0,0
you should totally come get me and bring me to kelslaws house with you,1,70,0.0,0.0,0,0.0,0.2142857142857142,0.1428571428571428,0
you seem nice youre generous and you know your stuff,2,52,5.0,0.0,0,0.1818181818181818,0.2727272727272727,0.0909090909090909,0
u so dirrrrrty why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car,1,113,2.0,0.0,0,0.0384615384615384,0.1153846153846153,0.1923076923076923,0
almost got a kitty yesterdaybut it didnt work out,1,49,0.0,0.0,0,0.0,0.2,0.2,1
reality needs to check in schools over time to party  not tonight tho im going to bed night night,1,97,0.0,0.0,2,0.0,0.1428571428571428,0.3809523809523809,1
caladesi was definitely a nice peaceful way to spend a sunday i got a lil tan,2,77,5.0,0.0,1,0.125,0.125,0.125,0
i still dont know what we would do though,1,41,0.0,0.0,0,0.0,0.2,0.0,1
_xo   dang it so its not certain    are you okay,1,48,1.0,0.0,0,0.1538461538461538,0.0,0.0,1
change of plans i am staying in brandon  no papaya salad for me,1,63,0.0,1.0,1,0.0,0.0714285714285714,0.2857142857142857,0
dear rain you suck now i gotta change my plans for tonight,0,58,0.0,1.0,1,0.0769230769230769,0.2307692307692307,0.2307692307692307,0
at starbucks with my love eff school i have work later too,1,58,3.0,0.0,0,0.0,0.0,0.25,0
i just cried whilst watching hollyoaks   i need a life lol,0,58,1.0,0.0,0,0.0833333333333333,0.25,0.1666666666666666,0
hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,2,131,3.0,0.0,0,0.0434782608695652,0.1304347826086956,0.1739130434782608,1
terminator salvation by myself,1,30,2.0,0.0,0,0.0,0.0,0.5,0
fortheloss dumbface  him not u what u up to on the wknd i wanna seeeeeee ya,0,75,0.0,0.0,1,0.0588235294117647,0.0588235294117647,0.2941176470588235,1
why do i have to enter my registration details every time i update,1,66,0.0,0.0,0,0.0,0.2307692307692307,0.2307692307692307,0
on the monday so i wont be able to be with you  i love you,2,58,3.0,0.0,1,0.0588235294117647,0.0588235294117647,0.0,1
ur so cuteim a fan of dream a little dream this kiss and appearances like in dawsons creek  make more flicks,2,108,9.0,0.0,0,0.0909090909090909,0.0454545454545454,0.3636363636363636,0
tgif is righti think i broke my toe last night  on my bad foot,1,62,0.0,4.0,1,0.1333333333333333,0.1333333333333333,0.2666666666666666,0
oherr its soon then do you have plans i had a party on saturday  x,1,66,0.0,0.0,1,0.0,0.125,0.1875,0
_lamont yr very young looking dude,2,34,0.0,0.0,1,0.1428571428571428,0.0,0.2857142857142857,0
hmmm wrong link ignore my tweet,0,31,0.0,3.0,0,0.0,0.1666666666666666,0.3333333333333333,0
att cheated the system and now i have no green day tickets   you att,0,68,0.0,4.0,1,0.0666666666666666,0.2,0.2,0
tracy and berwick breaks my achy breaky heart  they split ways in the hallways,0,78,0.0,0.0,1,0.1333333333333333,0.1333333333333333,0.2666666666666666,0
yep i wish they were all playing dubiln,2,39,1.0,0.0,0,0.0,0.25,0.0,0
im a lady and ladies dont move couches they direct where the couches go,1,71,0.0,0.0,0,0.0,0.25,0.25,1
yay for block party  youre the bomb blockheads  dave   thanks for supporting nkotb,2,82,1.0,0.0,0,0.0588235294117647,0.1176470588235294,0.2941176470588235,0
th february,1,11,0.0,0.0,1,0.0,0.0,0.0,0
guess what mom adopted a kitty today  months his name is corky,1,62,0.0,0.0,1,0.0769230769230769,0.1538461538461538,0.3846153846153846,0
happy birthday snickers  i hope you have the best day ever lets go shopping,2,75,8.0,0.0,0,0.1333333333333333,0.3333333333333333,0.2,0
thank you  im working on s,2,26,2.0,0.0,0,0.0,0.25,0.125,0
lol man i got    hrs an iont how i woulda made it wit out my ramen noodles and tv time,1,86,3.0,0.0,0,0.0476190476190476,0.1904761904761904,0.2857142857142857,0
not feeling all that well today,0,31,1.0,0.0,1,0.0,0.1666666666666666,0.1666666666666666,1
my ear hurts and this is my medicine gum,0,40,0.0,2.0,0,0.0,0.1111111111111111,0.3333333333333333,0
_berland lmao i know i know,1,27,4.0,0.0,0,0.0,0.2857142857142857,0.0,0
gnight shar    vega,1,19,0.0,0.0,1,0.0,0.0,0.0,0
the underwire in my bra is sticking out and poking me in the armpit,0,67,0.0,0.0,0,0.0,0.1428571428571428,0.2142857142857142,0
happy mothers day,2,17,3.0,0.0,1,0.3333333333333333,0.0,0.6666666666666666,0
yes i am,1,8,1.0,0.0,0,0.0,0.0,0.0,0
i cant call mitch  im from sweden,1,33,0.0,0.0,1,0.0,0.2,0.1,1
happy star wars day may the fourth be with you,2,46,3.0,0.0,1,0.2,0.0,0.3,0
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,1,94,2.0,0.0,1,0.2105263157894736,0.1052631578947368,0.1052631578947368,1
i just watched marley  mei cried so hard,0,40,0.0,3.0,1,0.0,0.2222222222222222,0.0,0
take antibacterial to school to clean your hands when you cant go the loos,1,74,2.0,0.0,0,0.0,0.2,0.2666666666666666,1
im leaving work now trying to decide if i return on sunday afternoon or monday  am to meet a noon uk time deadline,1,114,0.0,0.0,5,0.0,0.2,0.2,0
haaawwell i get out of class at i hope i make it,2,48,2.0,0.0,0,0.0,0.25,0.1666666666666666,0
oooh sunshine a patch of sunshine and it will be gone by the time i leave work and replaced with rain  vent,1,107,3.0,0.0,0,0.0,0.1739130434782608,0.2608695652173913,0
skype call with billie but my webcam dont work,1,46,0.0,0.0,0,0.1,0.1,0.3,1
just had a great study time followed by a delicious japanese meal with arty now trying to get back into the study mood,2,118,6.0,0.0,1,0.1304347826086956,0.1739130434782608,0.217391304347826,0
fml not having a car is prohibiting finding a job,0,49,0.0,0.0,0,0.0,0.3,0.2,1
lol since i got twitter a little while ago it seems like loads of people setting up an account,1,94,5.0,0.0,0,0.0526315789473684,0.1578947368421052,0.2631578947368421,0
i want to see david cook,2,24,1.0,0.0,1,0.0,0.3333333333333333,0.0,0
yeh me,1,6,0.0,0.0,1,0.0,0.0,0.5,0
learning tat the scenic way  din plan to go town but somehow was herded there,1,77,0.0,0.0,0,0.0625,0.25,0.25,0
i dont want to do anything specific i just want to see you and puppy,1,68,2.0,0.0,0,0.0625,0.3125,0.0,1
yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,0,102,0.0,1.0,2,0.0454545454545454,0.2272727272727272,0.1818181818181818,0
toy story  trailer premiered with up i need my computer back,1,60,0.0,0.0,0,0.0,0.1666666666666666,0.25,0
ughh on the phone with hp,1,25,0.0,0.0,0,0.0,0.1666666666666666,0.3333333333333333,0
and hand made by dan  jenn sock blockers  made from exotic woods  one of which is called purple heart,1,101,0.0,0.0,2,0.0909090909090909,0.1363636363636363,0.1818181818181818,0
yay about breaking,2,18,0.0,0.0,0,0.0,0.3333333333333333,0.3333333333333333,0
bahah sadly i am not,0,20,0.0,2.0,0,0.0,0.2,0.0,1
i always have those for my champions league parties  tis awesome,2,64,6.0,0.0,0,0.0833333333333333,0.0833333333333333,0.25,0
well not all just stay away from those kinds and surround yourself with those who dont happy mothers day to ur mom treiz,2,120,3.0,0.0,1,0.0416666666666666,0.125,0.1666666666666666,1
_adel they didnt reply yet wait till they confirm in case somebody might have translated it already,1,99,0.0,0.0,0,0.0,0.1578947368421052,0.0526315789473684,1
thats rough hubby had knee surgery but it did help him in the end let us know the results well keep him in our prayers,0,118,2.0,0.0,0,0.0384615384615384,0.2307692307692307,0.2307692307692307,0
might have to go back much earlier than expected bye bye bay area,1,65,0.0,0.0,0,0.0,0.2307692307692307,0.1538461538461538,0
playin city of villains wishin my buddies were playin with me,2,61,0.0,0.0,0,0.0909090909090909,0.0909090909090909,0.2727272727272727,0
yep  three things a good haircut the ability to listen and the value of not taking yourself too seriously,2,105,5.0,0.0,1,0.05,0.1,0.2,1
riley hacked my twitter  hahaha,1,31,2.0,0.0,1,0.0,0.1666666666666666,0.1666666666666666,0
big sad face   bing doesnt work on iphone  it just takes you to the regular mobile live search,1,94,0.0,1.0,0,0.238095238095238,0.0952380952380952,0.1904761904761904,1
i liked it  did you record it yourself  if so you have a very soothing voice,2,76,5.0,0.0,0,0.0555555555555555,0.1666666666666666,0.0555555555555555,0
man im so sad school is ending  but then again high school might be better o,1,76,0.0,0.0,0,0.1666666666666666,0.1111111111111111,0.2222222222222222,0
folks thought it was hilarious when i told them the story and then they saw the shirt i wore tonight  laughter all night,2,120,2.0,0.0,1,0.0416666666666666,0.1666666666666666,0.25,0
youre the absoute best,2,22,3.0,0.0,0,0.2,0.2,0.0,0
oh my god i cried so much watch this guys from bgt,1,50,0.0,1.0,0,0.0833333333333333,0.1666666666666666,0.0833333333333333,0
my near daily exercise is starting to show results,1,50,0.0,0.0,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,0
welcome,2,7,2.0,0.0,0,0.0,1.0,0.0,0
bout to hit pmark then make one of my final meals wit the housemates,1,68,0.0,0.0,0,0.0714285714285714,0.2142857142857142,0.2857142857142857,0
you get to go home and i have to go to work,1,43,0.0,0.0,0,0.0,0.3333333333333333,0.0833333333333333,0
voted for  on cmtcom,1,20,0.0,0.0,1,0.0,0.2,0.2,0
just got home from a nice party just not tired yet,2,50,1.0,0.0,0,0.1818181818181818,0.0909090909090909,0.0909090909090909,1
now i have a sunburn,0,20,0.0,0.0,0,0.0,0.2,0.2,0
i have the job  this is a nice day it can not be better,2,55,5.0,0.0,1,0.1333333333333333,0.0666666666666666,0.1333333333333333,1
i wish i could go to bea this weekend,2,37,1.0,0.0,1,0.0,0.3333333333333333,0.1111111111111111,0
i  rupert grint of the boy ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him,1,127,4.0,0.0,0,0.09375,0.15625,0.125,1
love your books,2,15,3.0,0.0,0,0.0,0.3333333333333333,0.3333333333333333,0
ok so this eye doctor guy is taking forever and im sitting in a cold room by myselfwhat a jerk,0,94,0.0,3.0,0,0.0476190476190476,0.0952380952380952,0.238095238095238,0
im slowing on my tweetscuase i lost my phone,0,44,0.0,3.0,0,0.0,0.2,0.2,0
well thank your phone for me,2,28,2.0,0.0,0,0.0,0.1666666666666666,0.1666666666666666,0
why would they take a photo with stuffed animals thats pretty funny,2,67,5.0,0.0,0,0.0769230769230769,0.2307692307692307,0.1538461538461538,0
tweetdeck is acting really strange hum reinstall maybe update on the horizon or is it just another adobe memory leak,1,116,0.0,2.0,0,0.05,0.1,0.15,0
tikcets are only ãââ½eachbut i so want to go,2,44,1.0,0.0,0,0.0,0.2222222222222222,0.1111111111111111,0
happy mothers day,2,17,3.0,0.0,1,0.3333333333333333,0.0,0.6666666666666666,0
its gonna be hot here today too today is ryans last day of prek i cant believe it  ive been a sahm since i had him,0,114,0.0,0.0,3,0.0666666666666666,0.0666666666666666,0.2333333333333333,1
is dreaming of the weekend awake,1,32,0.0,0.0,1,0.0,0.1666666666666666,0.3333333333333333,0
oh  me ive just returned from the supermarket of doom to find that i have nothing to drink here,0,95,0.0,2.0,0,0.0,0.1904761904761904,0.0952380952380952,0
yay but you missed naptime,1,26,0.0,2.0,0,0.0,0.2,0.4,0
dgroup saturdays with a little bit of football an hour nap  hours of soccer basketball in the tsu and yogurtland lifes good,2,123,3.0,0.0,1,0.0869565217391304,0.0434782608695652,0.4782608695652174,0
just set up a new computer again min i love norton ghost,2,56,2.0,0.0,0,0.0833333333333333,0.1666666666666666,0.1666666666666666,0
ahhh my mommie got me new sheets for my bed  so comfy,2,53,0.0,0.0,0,0.1538461538461538,0.0769230769230769,0.2307692307692307,0
_celeste  finally some sleep in silence,1,39,0.0,0.0,0,0.0,0.0,0.375,0
im just up  and its  o  im so lazy thank god its a bank holiday,1,63,2.0,0.0,0,0.05,0.15,0.15,0
is pretty dang tired but chambers class is for napping,0,54,0.0,1.0,0,0.2,0.1,0.2,0
i have to poop   is hogging the shitter,0,39,0.0,0.0,0,0.0,0.3333333333333333,0.1111111111111111,0
yes im down to  full on my dvr  i was at  like  days ago lol i swear if i didnt have a dvr i would never watch tv,1,113,4.0,0.0,0,0.0294117647058823,0.1176470588235294,0.1470588235294117,1
happy muthaths day to all moms i salute you,2,43,5.0,0.0,0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0
hahaha alright,2,14,3.0,0.0,1,0.0,0.0,0.0,0
arent you suppossed to support the local economy  lol  good for you and congrats,2,80,10.0,0.0,0,0.0588235294117647,0.1764705882352941,0.1764705882352941,1
good to know   thanks,2,21,5.0,0.0,0,0.2,0.2,0.2,0
what are you flavor of the day,1,30,0.0,0.0,1,0.0,0.0,0.2857142857142857,0
weathers let me down this morningughhada gd nite tho,1,52,0.0,0.0,0,0.0,0.2222222222222222,0.2222222222222222,0
just listened to condre scr and got an invitation to watch their live concert on june th in munich   postrock,1,109,0.0,0.0,2,0.0476190476190476,0.1904761904761904,0.1904761904761904,0
elo  wow brings back so many happy memories  love this bandand yes i know im showing my age but i dont care,2,107,13.0,0.0,0,0.0769230769230769,0.1923076923076923,0.1153846153846153,1
thats a very cute picture  but you dont get fat from licking bbqs  he must have found some chops on someone elses,2,113,2.0,0.0,0,0.0769230769230769,0.1923076923076923,0.1153846153846153,1
oh i love sunday mornings like this  mum just made scrambled eggs on toast,2,74,5.0,0.0,2,0.0666666666666666,0.1333333333333333,0.2666666666666666,0
hate working when its sunnyboohoo,0,33,0.0,3.0,0,0.2,0.2,0.2,0
is online,1,9,0.0,0.0,0,0.0,0.0,0.0,0
bundy in  days warm weather here i come,1,39,1.0,0.0,1,0.2222222222222222,0.1111111111111111,0.2222222222222222,0
wondering if i cld make things any worse than they already are answer just did,0,78,0.0,3.0,0,0.0666666666666666,0.2,0.2,0
a dutch marketing agency is asking job applicants to apply in  characters or less,1,81,0.0,0.0,1,0.0666666666666666,0.1333333333333333,0.3333333333333333,0
twitter has spoiled all the fun frustratingly slow  couldnt even bid properly,0,77,2.0,0.0,0,0.0714285714285714,0.1428571428571428,0.1428571428571428,1
_chick haha i completely agree,2,30,4.0,0.0,0,0.0,0.1666666666666666,0.1666666666666666,0
if we dont pack she cant leave right,1,36,0.0,1.0,0,0.0,0.2,0.0,1
lolwhere u headed to,1,20,0.0,0.0,0,0.25,0.25,0.0,0
going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,2,116,7.0,0.0,0,0.125,0.125,0.2083333333333333,0
many mine included ahem shld have known better back then wldnt have missed so many opportunities haha,0,101,5.0,0.0,0,0.1176470588235294,0.1764705882352941,0.2941176470588235,0
its nice to leave the office when the sun is still up,2,53,2.0,0.0,0,0.0,0.0833333333333333,0.25,0
i will miss the soccer moms,0,27,0.0,2.0,0,0.0,0.1666666666666666,0.3333333333333333,0
between the garlic pills the spider bite between your toe lolclassic and you always being hungry u are killing me  funny,1,120,1.0,0.0,0,0.0909090909090909,0.0909090909090909,0.2272727272727272,0
sighs ah well  maybe my second email will clear it up and get him approved,1,74,3.0,0.0,1,0.0625,0.25,0.0625,0
missed all your tweets again joe  that time difference uk dont get about your fave supporters in the uk,1,103,0.0,1.0,2,0.0476190476190476,0.0952380952380952,0.1904761904761904,1
that came to my mind so i said it and it has now been adapted into my familys vocabulary,1,88,0.0,0.0,0,0.0,0.1578947368421052,0.1578947368421052,0
looking forward to body works today,1,35,0.0,0.0,1,0.0,0.1666666666666666,0.5,0
just watched yes man bahaha that movie is messed up,0,51,0.0,1.0,0,0.0,0.2,0.2,0
sadly i think i know exactly were you put itin the expired drawer   those things have a life span of less than two years,0,120,0.0,2.0,1,0.08,0.16,0.2,0
too much no not unless one of the pillows ends up suffocating the one sleeping next to you,0,90,0.0,1.0,1,0.0,0.1666666666666666,0.1111111111111111,1
meeting my best friend first thing in the morning to the gym omg i am still so shocked i hope you will get better soon,1,118,6.0,0.0,2,0.16,0.12,0.2,0
wow that was fastnext up soderling or ferrer gilles simon lost,0,62,1.0,0.0,0,0.0,0.1818181818181818,0.1818181818181818,0
yup theory is great but the reality is beyond imagination  i also made the same planning not knowing vs will fail on me,1,119,1.0,0.0,0,0.0833333333333333,0.125,0.1666666666666666,1
glad to know that the ad display problem was due to a firewall config at yr office phew,2,87,1.0,0.0,0,0.1111111111111111,0.0555555555555555,0.4444444444444444,0
woot,2,4,0.0,0.0,0,0.0,0.0,0.0,0
i dont like monday i wish it were sunday cause thats my fun day  that was my freaking jam when i was little   i miss it,1,119,1.0,0.0,2,0.0333333333333333,0.1,0.1333333333333333,1
waiting for the last movie to finish then am test screening ghost of girlfriends past glass of wine and lolly bag in hand yay,1,125,0.0,1.0,0,0.0833333333333333,0.0833333333333333,0.4166666666666667,0
happy starwarsday may the th be with you  from everyone _paintball,2,66,3.0,0.0,1,0.0769230769230769,0.0,0.0769230769230769,0
must head back to the office,1,28,0.0,0.0,0,0.0,0.1666666666666666,0.1666666666666666,0
st joe is dirty,0,15,0.0,2.0,1,0.25,0.0,0.0,0
camping at black butte lake,1,27,0.0,0.0,0,0.2,0.2,0.2,0
are you getting my messages or do you have to add me to recieve them soz im new to this,1,87,0.0,0.0,0,0.0952380952380952,0.238095238095238,0.0476190476190476,0
i hate my life,0,14,0.0,3.0,0,0.0,0.25,0.25,0
sick to my stomach and i have a headache i wish someone could come rub my temples,0,81,0.0,3.0,0,0.0588235294117647,0.2352941176470588,0.1764705882352941,0
natalya you gotta tell me whats going on id call you but i lost all my phone numbers when i broke my blackberry,0,111,0.0,4.0,0,0.0,0.1923076923076923,0.1923076923076923,0
just thought about how unfair  ppl have been  me n got depressed again  haters,0,78,0.0,7.0,0,0.0588235294117647,0.1176470588235294,0.0588235294117647,0
crying real tears,0,17,0.0,4.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
_brown been holding onto this one for a while,1,45,0.0,0.0,0,0.0,0.1,0.2,0
panchitos burfday party tonight wish you were here kiddo,2,56,1.0,0.0,2,0.0,0.1111111111111111,0.4444444444444444,0
back from town and my mac crashed on me  but its better now,1,59,2.0,0.0,0,0.0714285714285714,0.0714285714285714,0.1428571428571428,0
archie andrews what were you thinking veronica,1,46,0.0,0.0,0,0.0,0.1428571428571428,0.0,0
the best things in life are free  x,2,35,4.0,0.0,0,0.2222222222222222,0.0,0.3333333333333333,0
misses my mom today she was my best friend and even though she has been gone several yrs i still miss her dearly happy mothers day,2,130,8.0,0.0,2,0.1153846153846153,0.1153846153846153,0.2307692307692307,0
i am watching blood  on veoh episode  love the musicwishing i could watch the live action but not old enough,0,108,3.0,0.0,0,0.0909090909090909,0.1363636363636363,0.1818181818181818,1
that is a bummer,0,16,0.0,2.0,0,0.0,0.0,0.25,0
he is the truth but what about maxwell you cant forget the future father of my children,1,87,0.0,1.0,0,0.0555555555555555,0.0555555555555555,0.2222222222222222,1
the racoons ate our bread,0,25,0.0,0.0,0,0.0,0.2,0.4,0
be sure to let the moms you know how fabulous you think they are   almost mothers day,2,85,4.0,0.0,1,0.1111111111111111,0.1666666666666666,0.1666666666666666,0
_in_a_story glad im not the only one hes our baby and im terrified hell think were never coming back,1,100,0.0,4.0,0,0.1739130434782608,0.217391304347826,0.0869565217391304,1
no launch today teacher changed plans and we watched a stupid move about tesla,0,78,0.0,3.0,1,0.0714285714285714,0.1428571428571428,0.4285714285714285,0
its very pleasant i sooo rarely just have time to kill,2,54,0.0,0.0,0,0.0909090909090909,0.2727272727272727,0.0909090909090909,0
thank you ooh i see youve read desert islands  great book,2,57,5.0,0.0,0,0.0769230769230769,0.2307692307692307,0.2307692307692307,0
__o lol but tiz a good song,2,27,6.0,0.0,0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0
again working on the internet shop  dont think we will achieve the goal of uploading by the previously set time   will keep going,1,129,0.0,0.0,0,0.0,0.2307692307692307,0.1923076923076923,1
i bought cheesecake ice cream last week thinking it was good and it sucked so much   im taking yours,0,100,3.0,0.0,1,0.1428571428571428,0.1904761904761904,0.238095238095238,0
what causes the frustration buddy,1,33,0.0,2.0,0,0.0,0.2,0.4,0
_wright thank you return of the mack is the jam,2,47,2.0,0.0,1,0.0,0.1818181818181818,0.2727272727272727,0
ready for this saddenning depressing dullful upsetting dreadful weekend,0,71,0.0,7.0,1,0.4444444444444444,0.2222222222222222,0.1111111111111111,0
sorry for my lack of tweets  ive been buzy new vid this saturday,0,64,0.0,3.0,1,0.1333333333333333,0.0,0.3333333333333333,0
i do my humble best  going on a works paintball day soon so that should fuel a few strips no doubt,2,98,2.0,0.0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,1
going to bed  cant take thiss any longeerr maan u,0,49,0.0,0.0,0,0.0,0.2307692307692307,0.2307692307692307,1
_morden be at richards if not then ill see you when youwe get back  good luck,2,77,4.0,0.0,0,0.1111111111111111,0.1666666666666666,0.1666666666666666,1
thanksi really do appreciate that i know it will be the hardest thing i have ever done,1,86,2.0,0.0,1,0.0588235294117647,0.1764705882352941,0.1176470588235294,0
spent the last hour signing yearbooks ill miss you guys,0,55,0.0,4.0,2,0.2,0.3,0.3,0
and i just love every little thing about you,2,44,3.0,0.0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0
my mobile has stopped recieving text messages again stoooopid thing,0,67,0.0,1.0,0,0.1,0.2,0.4,0
hi simon let me know when its done,1,34,0.0,0.0,0,0.0,0.375,0.0,0
had an amazing night with my favorite lady friend,2,49,7.0,0.0,0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0
_oyler poor little woman with her smushed in head,0,49,0.0,2.0,0,0.2,0.1,0.3,0
is fixin to clean the house for my mom for mothers day,2,54,2.0,0.0,1,0.0,0.0833333333333333,0.4166666666666667,0
why do you think people say save the drama fo yo mama im sure even yo mama wouldnt wanna listen to ur drama ode to mothers day,1,126,2.0,0.0,0,0.0689655172413793,0.2068965517241379,0.1724137931034483,1
hey thats my school i hate that place,0,37,0.0,3.0,0,0.0,0.2222222222222222,0.2222222222222222,0
i did i only got  stars on the pre wash then failed the rince,0,61,0.0,2.0,0,0.0666666666666666,0.1333333333333333,0.2,0
